#      x          Cp  
     1.00000    0.42817
     0.99886    0.34715
     0.99748    0.31068
     0.99600    0.28315
     0.99442    0.26147
     0.99271    0.24280
     0.99087    0.22603
     0.98887    0.21048
     0.98667    0.19570
     0.98424    0.18134
     0.98153    0.16715
     0.97847    0.15286
     0.97497    0.13821
     0.97087    0.12288
     0.96598    0.10648
     0.95997    0.08848
     0.95230    0.06809
     0.94209    0.04421
     0.92795    0.01552
     0.90845   -0.01830
     0.88375   -0.05473
     0.85603   -0.09001
     0.82717   -0.12253
     0.79794   -0.15238
     0.76860   -0.18011
     0.73923   -0.20619
     0.70988   -0.23102
     0.68055   -0.25491
     0.65129   -0.27807
     0.62213   -0.30070
     0.59307   -0.32294
     0.56416   -0.34493
     0.53542   -0.36676
     0.50688   -0.38857
     0.47858   -0.41050
     0.45057   -0.43285
     0.42297   -0.45569
     0.39608   -0.48394
     0.37018   -0.50823
     0.34487   -0.52648
     0.32000   -0.54195
     0.29558   -0.55465
     0.27164   -0.56464
     0.24823   -0.57182
     0.22541   -0.57603
     0.20327   -0.57706
     0.18192   -0.57468
     0.16151   -0.56864
     0.14221   -0.55875
     0.12427   -0.54492
     0.10795   -0.52729
     0.09349   -0.50629
     0.08098   -0.48260
     0.07037   -0.45700
     0.06147   -0.43011
     0.05399   -0.40235
     0.04769   -0.37392
     0.04232   -0.34488
     0.03770   -0.31515
     0.03368   -0.28464
     0.03015   -0.25320
     0.02703   -0.22068
     0.02425   -0.18692
     0.02175   -0.15174
     0.01949   -0.11495
     0.01744   -0.07634
     0.01558   -0.03579
     0.01387    0.00692
     0.01231    0.05204
     0.01088    0.09957
     0.00956    0.14985
     0.00835    0.20285
     0.00724    0.25866
     0.00622    0.31732
     0.00529    0.37857
     0.00444    0.44230
     0.00368    0.50787
     0.00299    0.57474
     0.00237    0.64184
     0.00183    0.70801
     0.00136    0.77165
     0.00097    0.83102
     0.00064    0.88410
     0.00038    0.92906
     0.00019    0.96409
     0.00007    0.98767
     0.00001    0.99896
     0.00001    0.99779
     0.00006    0.98357
     0.00019    0.95534
     0.00038    0.91296
     0.00064    0.85744
     0.00098    0.79055
     0.00140    0.71475
     0.00190    0.63294
     0.00247    0.54820
     0.00313    0.46317
     0.00387    0.38016
     0.00469    0.30085
     0.00559    0.22644
     0.00657    0.15756
     0.00765    0.09460
     0.00881    0.03738
     0.01006   -0.01400
     0.01142   -0.06015
     0.01288   -0.10120
     0.01447   -0.13764
     0.01618   -0.16993
     0.01803   -0.19829
     0.02004   -0.22320
     0.02223   -0.24495
     0.02463   -0.26376
     0.02727   -0.27990
     0.03020   -0.29358
     0.03346   -0.30494
     0.03712   -0.31408
     0.04128   -0.32107
     0.04607   -0.32592
     0.05163   -0.32856
     0.05820   -0.32886
     0.06606   -0.32661
     0.07561   -0.32148
     0.08728   -0.31317
     0.10150   -0.30144
     0.11853   -0.28641
     0.13832   -0.26862
     0.16056   -0.24893
     0.18483   -0.22821
     0.21078   -0.20717
     0.23811   -0.18638
     0.26661   -0.16624
     0.29613   -0.14713
     0.32653   -0.12945
     0.35765   -0.11365
     0.38921   -0.10150
     0.42042   -0.09514
     0.45143   -0.08345
     0.48269   -0.07103
     0.51426   -0.05824
     0.54615   -0.04541
     0.57830   -0.03266
     0.61069   -0.02007
     0.64328   -0.00763
     0.67602    0.00470
     0.70888    0.01703
     0.74182    0.02954
     0.77480    0.04245
     0.80773    0.05615
     0.84043    0.07111
     0.87219    0.08788
     0.90092    0.10634
     0.92354    0.12466
     0.93945    0.14083
     0.95058    0.15462
     0.95875    0.16666
     0.96506    0.17757
     0.97015    0.18776
     0.97439    0.19752
     0.97800    0.20710
     0.98114    0.21667
     0.98392    0.22640
     0.98640    0.23649
     0.98865    0.24715
     0.99069    0.25864
     0.99257    0.27135
     0.99431    0.28591
     0.99592    0.30333
     0.99743    0.32619
     0.99884    0.35828
     1.00000    0.42817
